Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"View Profile","View Profile"
"View Author","View Author"
ID,ID
Title,Title
"URL Key","URL Key"
Status,Status
Enabled,Enabled
Disabled,Disabled
Author,Author
Action,Action
Position,Position
"View Category","View Category"
"Create Category","Create Category"
"View Comment","View Comment"
Import,Import
"View Post","View Post"
SKU,SKU
Visibility,Visibility
"View Tag","View Tag"
"Create Tag","Create Tag"
"Add New Post","Add New Post"
"Manage Posts","Manage Posts"
"Add New Category","Add New Category"
"Manage Categories","Manage Categories"
"Add New Tag","Add New Tag"
"Manage Tags","Manage Tags"
"Add New Author","Add New Author"
"Manage Authors","Manage Authors"
"Manage Comments","Manage Comments"
"My Profile","My Profile"
Settings,Settings
"User Guide","User Guide"
"Change Log","Change Log"
"Get Support","Get Support"
Home,Home
"Go to Home Page","Go to Home Page"
"Latest Posts from %1","Latest Posts from %1"
"Go to Home Page1","Go to Home Page1"
Reply,Reply
"Latest Posts","Latest Posts"
"Search Results for: '%1'","Search Results for: '%1'"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Sorry, but nothing matched your search criteria. Please try again with some different keywords."
"Tag Archives: %1","Tag Archives: %1"
"The author has been deleted.","The author has been deleted."
"We can't find an author to delete.","We can't find an author to delete."
Blog,Blog
"This author no longer exists.","This author no longer exists."
"Edit Author","Edit Author"
"New Author","New Author"
Authors,Authors
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the author.","You saved the author."
"You duplicated the author","You duplicated the author"
"Something went wrong while saving the author.","Something went wrong while saving the author."
"The category has been deleted.","The category has been deleted."
"We can't find a category to delete.","We can't find a category to delete."
"This category no longer exists.","This category no longer exists."
"Edit Category","Edit Category"
"New Category","New Category"
Categories,Categories
"You saved the category.","You saved the category."
"You duplicated the category","You duplicated the category"
"Something went wrong while saving the category.","Something went wrong while saving the category."
"The comment has been deleted.","The comment has been deleted."
"We can't find a comment to delete.","We can't find a comment to delete."
"This comment no longer exists.","This comment no longer exists."
"Edit Comment","Edit Comment"
"New Comment","New Comment"
Comments,Comments
"You saved the comment.","You saved the comment."
"You duplicated the comment","You duplicated the comment"
"Something went wrong while saving the comment.","Something went wrong while saving the comment."
"Blog Import","Blog Import"
"Import successfully done. %1 posts, %2 categories, %3 tags and %4 comments where imported.","Import successfully done. %1 posts, %2 categories, %3 tags and %4 comments where imported."
"Something went wrong while process the request.","Something went wrong while process the request."
"The post has been deleted.","The post has been deleted."
"We can't find a post to delete.","We can't find a post to delete."
"This post no longer exists.","This post no longer exists."
"Edit Post","Edit Post"
"New Post","New Post"
Posts,Posts
"You saved the post.","You saved the post."
"You duplicated the post","You duplicated the post"
"Something went wrong while saving the post.","Something went wrong while saving the post."
"Your profile no longer exists.","Your profile no longer exists."
"You saved your profile.","You saved your profile."
"Something went wrong while saving your profile.","Something went wrong while saving your profile."
"The tag has been deleted.","The tag has been deleted."
"We can't find a tag to delete.","We can't find a tag to delete."
"This tag no longer exists.","This tag no longer exists."
"Edit Tag","Edit Tag"
"New Tag","New Tag"
Tags,Tags
"You saved the tag.","You saved the tag."
"You duplicated the tag","You duplicated the tag"
"Something went wrong while saving the tag.","Something went wrong while saving the tag."
"Your comment has been successfully submitted.","Your comment has been successfully submitted."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Enter the name and try again.","Enter the name and try again."
"Enter the content and try again.","Enter the content and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"Not found Post ID","Not found Post ID"
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"Page not found.","Page not found."
"Yearly Archives: %1","Yearly Archives: %1"
"Monthly Archives: %1","Monthly Archives: %1"
Fistname,Fistname
Lastname,Lastname
"Firstname - Lastname","Firstname - Lastname"
"Lastname - Firstname","Lastname - Firstname"
Nickname,Nickname
"Could not save author: %1","Could not save author: %1"
"Cannot delete author with id %1","Cannot delete author with id %1"
None,None
"Could not save category: %1","Could not save category: %1"
"Cannot delete category with id %1","Cannot delete category with id %1"
Approved,Approved
Pending,Pending
"Not Approved","Not Approved"
"Native Comment","Native Comment"
Facebook,Facebook
Disqus,Disqus
"Could not save comment: %1","Could not save comment: %1"
"Cannot delete comment with id %1","Cannot delete comment with id %1"
"Disable Completely","Disable Completely"
"1 column","1 column"
"2 columns","2 columns"
"3 columns","3 columns"
"4 columns","4 columns"
"5 columns","5 columns"
"6 columns","6 columns"
"Failed connect to %1","Failed connect to %1"
"Something went wrong while importing categories","Something went wrong while importing categories"
"Something went wrong while importing tags","Something went wrong while importing tags"
"Something went wrong while importing posts","Something went wrong while importing posts"
"Something went wrong while importing authors","Something went wrong while importing authors"
Image,Image
Video,Video
"List - Fixed Thumbnail","List - Fixed Thumbnail"
"List - Full Thumbnail","List - Full Thumbnail"
Grid,Grid
Masonry,Masonry
Slider,Slider
"Could not save post: %1","Could not save post: %1"
"Cannot delete post with id %1","Cannot delete post with id %1"
"A category URL key with the same properties already exists in the selected store.","A category URL key with the same properties already exists in the selected store."
"The category URL key contains capital letters or disallowed symbols.","The category URL key contains capital letters or disallowed symbols."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"A blog URL key with the same properties already exists in the selected store.","A blog URL key with the same properties already exists in the selected store."
"The blog URL key contains capital letters or disallowed symbols.","The blog URL key contains capital letters or disallowed symbols."
"The blog URL key cannot be made of only numbers.","The blog URL key cannot be made of only numbers."
"A tag URL key with the same properties already exists.","A tag URL key with the same properties already exists."
"A author URL key with the same properties already exists.","A author URL key with the same properties already exists."
"The tag URL key contains capital letters or disallowed symbols.","The tag URL key contains capital letters or disallowed symbols."
"The tag URL key cannot be made of only numbers.","The tag URL key cannot be made of only numbers."
"Could not save tag: %1","Could not save tag: %1"
"Cannot delete tag with id %1","Cannot delete tag with id %1"
Edit,Edit
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"We can't find posts matching the selection.","We can't find posts matching the selection."
"Read More »","Read More »"
"Leave a Reply","Leave a Reply"
"Cancel reply","Cancel reply"
"* Required Fields","* Required Fields"
"Your email address will not be published. Required fields are marked","Your email address will not be published. Required fields are marked"
Comment,Comment
Name,Name
Email,Email
Submit,Submit
"Only registered users can post comments. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can post comments. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"%1 comments","%1 comments"
"%1 Comments","%1 Comments"
"%1 Comment","%1 Comment"
"Leave a comment","Leave a comment"
"%1 Views","%1 Views"
"%1 View","%1 View"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
Share,Share
Twitter,Twitter
LinkedIn,LinkedIn
Pinterest,Pinterest
"Search posts here...","Search posts here..."
Search,Search
Post,Post
Category,Category
Tag,Tag
"General Settings","General Settings"
"Current Version","Current Version"
"Enable Blog","Enable Blog"
"Date Format","Date Format"
"Show in Top Links","Show in Top Links"
"Main Color","Main Color"
"Blog Latest Page","Blog Latest Page"
"Page Layout","Page Layout"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Posts per page","Posts per page"
"List Layout","List Layout"
"Grid Columns","Grid Columns"
"Post Page","Post Page"
"Sharing Box","Sharing Box"
"Author Box","Author Box"
"Meta Settings","Meta Settings"
"Author Meta","Author Meta"
"Date Meta","Date Meta"
"Categories Meta","Categories Meta"
"Comments Meta","Comments Meta"
"Views Meta","Views Meta"
"Related Posts","Related Posts"
"Number of Posts","Number of Posts"
"Related Products","Related Products"
"Number of Products","Number of Products"
Type,Type
"Disqus Shortname","Disqus Shortname"
"<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">What's a shortname?</a>","<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">What's a shortname?</a>"
"Need for Approval","Need for Approval"
"Allow Guest Comments","Allow Guest Comments"
"Number of Comments","Number of Comments"
reCaptcha,reCaptcha
"Site key","Site key"
"Secret key","Secret key"
"Category Page","Category Page"
"Tag Page","Tag Page"
"Default Robots","Default Robots"
"Author Page","Author Page"
"Archive Page","Archive Page"
"Search Page","Search Page"
"Product Page","Product Page"
Sidebar,Sidebar
"Search Form Widget","Search Form Widget"
"Sort Order","Sort Order"
"Show Post Count","Show Post Count"
"Maximal Depth","Maximal Depth"
"Archives Widget","Archives Widget"
"Tab Widget","Tab Widget"
Sticky,Sticky
"Popular Posts","Popular Posts"
"Recent Posts","Recent Posts"
"Recent Comments","Recent Comments"
"Tags Widget","Tags Widget"
"Number of Tags","Number of Tags"
"Permalink Settings","Permalink Settings"
"Blog Route","Blog Route"
"Post URL Suffix","Post URL Suffix"
"Use Categories Path for Post URLs","Use Categories Path for Post URLs"
"Category Route","Category Route"
htpps://domain.com/{blog_route}/{category_route}/{category_identifier},htpps://domain.com/{blog_route}/{category_route}/{category_identifier}
"Category URL Suffix","Category URL Suffix"
"Archive Route","Archive Route"
