" should be numeric"," should be numeric"
" should not be empty"," should not be empty"
"&copy; Copyright & License Info","&copy; Copyright & License Info"
"&laquo; Previous","&laquo; Previous"
"&lt;a&gt; Tag Link","&lt;a&gt; Tag Link"
&lt;h1&gt;,&lt;h1&gt;
&lt;h2&gt;,&lt;h2&gt;
&lt;h3&gt;,&lt;h3&gt;
&lt;h4&gt;,&lt;h4&gt;
&lt;h5&gt;,&lt;h5&gt;
&lt;h6&gt;,&lt;h6&gt;
&lt;p&gt;,&lt;p&gt;
&lt;rs-layer&gt;,&lt;rs-layer&gt;
&lt;span&gt;,&lt;span&gt;
"(Font: SIL OFL 1.1, CSS: MIT License)","(Font: SIL OFL 1.1, CSS: MIT License)"
(Re)Load,(Re)Load
"(Re)Load URL","(Re)Load URL"
"(i.e. lazy-src for WP Rocket)","(i.e. lazy-src for WP Rocket)"
"(i.e. lazy-src)","(i.e. lazy-src)"
"(ie. cms_page_view,catalog_product_view,about-us)","(ie. cms_page_view,catalog_product_view,about-us)"
"(ie. http://fonts.useso.com/css?family for chinese Environment)","(ie. http://fonts.useso.com/css?family for chinese Environment)"
"(x%, y%)","(x%, y%)"
"* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation","* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation"
", making it even easier for developers to customize, share, and re-use outside of Slider Revolution.",", making it even easier for developers to customize, share, and re-use outside of Slider Revolution."
"1 License Key per Website","1 License Key per Website"
"1 License Key per Website!","1 License Key per Website!"
"1 Purchase Code per Website","1 Purchase Code per Website"
"1 Purchase Code per Website!","1 Purchase Code per Website!"
"1 Spike Bottom","1 Spike Bottom"
"1 Spike Middle","1 Spike Middle"
"1 Spike Top","1 Spike Top"
"1 Time Per Session","1 Time Per Session"
"1on1 Support","1on1 Support"
"1st Frame","1st Frame"
"1st Row Title","1st Row Title"
"2D Rotation","2D Rotation"
"2D Rotation Offset","2D Rotation Offset"
"2d rotation movement for the displacement map","2d rotation movement for the displacement map"
3D,3D
"3D Crop Fix","3D Crop Fix"
"3D Crop Fix (z)","3D Crop Fix (z)"
"3D Effect","3D Effect"
"3D Effect Depth","3D Effect Depth"
"3D Effect Direction","3D Effect Direction"
"3D Effect Ease","3D Effect Ease"
"3D Effect Room Rotation","3D Effect Room Rotation"
"3D Effect Side Color","3D Effect Side Color"
"3D Effects","3D Effects"
"3D Effects Enabled","3D Effects Enabled"
"3D Individual (Local)","3D Individual (Local)"
"3D Settings","3D Settings"
"3D Shadow","3D Shadow"
"3D Shadow Color","3D Shadow Color"
"3D Shadow Limitation","3D Shadow Limitation"
"3D Shadow Maximum Strength","3D Shadow Maximum Strength"
"3D Shadow Minimum Strength","3D Shadow Minimum Strength"
"3D Uniform (Global)","3D Uniform (Global)"
"3rd Party Lazy Loading Data","3rd Party Lazy Loading Data"
"60+ pre-built animations, animation duration, easing","60+ pre-built animations, animation duration, easing"
"<a href='https://www.themepunch.com/faq/facebook-stream-setup-instructions-access-token/' target='_blank'>Generate</a> a Facebook Access Token with the needed permissions","<a href='https://www.themepunch.com/faq/facebook-stream-setup-instructions-access-token/' target='_blank'>Generate</a> a Facebook Access Token with the needed permissions"
"<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -","<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -"
"<b>Layer width bleeds out of Grid:</b><br>-Auto Layer width has been removed<br>-Line Break set to Content Based","<b>Layer width bleeds out of Grid:</b><br>-Auto Layer width has been removed<br>-Line Break set to Content Based"
"<b>Stroke 7 Icon Font Set</b> by www.pixeden.com <br>Get your Freebie Iconset at","<b>Stroke 7 Icon Font Set</b> by www.pixeden.com <br>Get your Freebie Iconset at"
"<h2>In case you’re using Google Web Fonts (default) or playing videos or sounds via YouTube or Vimeo in Slider Revolution we recommend to add the corresponding text phrase to your privacy police:</h2>
		<h3>YouTube</h3> <p>Our website uses plugins from YouTube, which is operated by Google. The operator of the pages is YouTube LLC, 901 Cherry Ave., San Bruno, CA 94066, USA.</p> <p>If you visit one of our pages featuring a YouTube plugin, a connection to the YouTube servers is established. Here the YouTube server is informed about which of our pages you have visited.</p> <p>If you\'re logged in to your YouTube account, YouTube allows you to associate your browsing behavior directly with your personal profile. You can prevent this by logging out of your YouTube account.</p> <p>YouTube is used to help make our website appealing. This constitutes a justified interest pursuant to Art. 6 (1) (f) DSGVO.</p> <p>Further information about handling user data, can be found in the data protection declaration of YouTube under <a href=""https://www.google.de/intl/de/policies/privacy"" target=""_blank"">https://www.google.de/intl/de/policies/privacy</a>.</p>
		<h3>Vimeo</h3> <p>Our website uses features provided by the Vimeo video portal. This service is provided by Vimeo Inc., 555 West 18th Street, New York, New York 10011, USA.</p> <p>If you visit one of our pages featuring a Vimeo plugin, a connection to the Vimeo servers is established. Here the Vimeo server is informed about which of our pages you have visited. In addition, Vimeo will receive your IP address. This also applies if you are not logged in to Vimeo when you visit our plugin or do not have a Vimeo account. The information is transmitted to a Vimeo server in the US, where it is stored.</p> <p>If you are logged in to your Vimeo account, Vimeo allows you to associate your browsing behavior directly with your personal profile. You can prevent this by logging out of your Vimeo account.</p> <p>For more information on how to handle user data, please refer to the Vimeo Privacy Policy at <a href=""https://vimeo.com/privacy"" target=""_blank"">https://vimeo.com/privacy</a>.</p>
		<h3>Google Web Fonts</h3> <p>For uniform representation of fonts, this page uses web fonts provided by Google. When you open a page, your browser loads the required web fonts into your browser cache to display texts and fonts correctly.</p> <p>For this purpose your browser has to establish a direct connection to Google servers. Google thus becomes aware that our web page was accessed via your IP address. The use of Google Web fonts is done in the interest of a uniform and attractive presentation of our plugin. This constitutes a justified interest pursuant to Art. 6 (1) (f) DSGVO.</p> <p>If your browser does not support web fonts, a standard font is used by your computer.</p> <p>Further information about handling user data, can be found at <a href=""https://developers.google.com/fonts/faq"" target=""_blank"">https://developers.google.com/fonts/faq</a> and in Google\'s privacy policy at <a href=""https://www.google.com/policies/privacy/"" target=""_blank"">https://www.google.com/policies/privacy/</a>.</p>
		<h3>SoundCloud</h3><p>On our pages, plugins of the SoundCloud social network (SoundCloud Limited, Berners House, 47-48 Berners Street, London W1T 3NF, UK) may be integrated. The SoundCloud plugins can be recognized by the SoundCloud logo on our site.</p>
			<p>When you visit our site, a direct connection between your browser and the SoundCloud server is established via the plugin. This enables SoundCloud to receive information that you have visited our site from your IP address. If you click on the “Like” or “Share” buttons while you are logged into your SoundCloud account, you can link the content of our pages to your SoundCloud profile. This means that SoundCloud can associate visits to our pages with your user account. We would like to point out that, as the provider of these pages, we have no knowledge of the content of the data transmitted or how it will be used by SoundCloud. For more information on SoundCloud’s privacy policy, please go to https://soundcloud.com/pages/privacy.</p><p>If you do not want SoundCloud to associate your visit to our site with your SoundCloud account, please log out of your SoundCloud account.</p>","<h2>In case you’re using Google Web Fonts (default) or playing videos or sounds via YouTube or Vimeo in Slider Revolution we recommend to add the corresponding text phrase to your privacy police:</h2>
		<h3>YouTube</h3> <p>Our website uses plugins from YouTube, which is operated by Google. The operator of the pages is YouTube LLC, 901 Cherry Ave., San Bruno, CA 94066, USA.</p> <p>If you visit one of our pages featuring a YouTube plugin, a connection to the YouTube servers is established. Here the YouTube server is informed about which of our pages you have visited.</p> <p>If you\'re logged in to your YouTube account, YouTube allows you to associate your browsing behavior directly with your personal profile. You can prevent this by logging out of your YouTube account.</p> <p>YouTube is used to help make our website appealing. This constitutes a justified interest pursuant to Art. 6 (1) (f) DSGVO.</p> <p>Further information about handling user data, can be found in the data protection declaration of YouTube under <a href=""https://www.google.de/intl/de/policies/privacy"" target=""_blank"">https://www.google.de/intl/de/policies/privacy</a>.</p>
		<h3>Vimeo</h3> <p>Our website uses features provided by the Vimeo video portal. This service is provided by Vimeo Inc., 555 West 18th Street, New York, New York 10011, USA.</p> <p>If you visit one of our pages featuring a Vimeo plugin, a connection to the Vimeo servers is established. Here the Vimeo server is informed about which of our pages you have visited. In addition, Vimeo will receive your IP address. This also applies if you are not logged in to Vimeo when you visit our plugin or do not have a Vimeo account. The information is transmitted to a Vimeo server in the US, where it is stored.</p> <p>If you are logged in to your Vimeo account, Vimeo allows you to associate your browsing behavior directly with your personal profile. You can prevent this by logging out of your Vimeo account.</p> <p>For more information on how to handle user data, please refer to the Vimeo Privacy Policy at <a href=""https://vimeo.com/privacy"" target=""_blank"">https://vimeo.com/privacy</a>.</p>
		<h3>Google Web Fonts</h3> <p>For uniform representation of fonts, this page uses web fonts provided by Google. When you open a page, your browser loads the required web fonts into your browser cache to display texts and fonts correctly.</p> <p>For this purpose your browser has to establish a direct connection to Google servers. Google thus becomes aware that our web page was accessed via your IP address. The use of Google Web fonts is done in the interest of a uniform and attractive presentation of our plugin. This constitutes a justified interest pursuant to Art. 6 (1) (f) DSGVO.</p> <p>If your browser does not support web fonts, a standard font is used by your computer.</p> <p>Further information about handling user data, can be found at <a href=""https://developers.google.com/fonts/faq"" target=""_blank"">https://developers.google.com/fonts/faq</a> and in Google\'s privacy policy at <a href=""https://www.google.com/policies/privacy/"" target=""_blank"">https://www.google.com/policies/privacy/</a>.</p>
		<h3>SoundCloud</h3><p>On our pages, plugins of the SoundCloud social network (SoundCloud Limited, Berners House, 47-48 Berners Street, London W1T 3NF, UK) may be integrated. The SoundCloud plugins can be recognized by the SoundCloud logo on our site.</p>
			<p>When you visit our site, a direct connection between your browser and the SoundCloud server is established via the plugin. This enables SoundCloud to receive information that you have visited our site from your IP address. If you click on the “Like” or “Share” buttons while you are logged into your SoundCloud account, you can link the content of our pages to your SoundCloud profile. This means that SoundCloud can associate visits to our pages with your user account. We would like to point out that, as the provider of these pages, we have no knowledge of the content of the data transmitted or how it will be used by SoundCloud. For more information on SoundCloud’s privacy policy, please go to https://soundcloud.com/pages/privacy.</p><p>If you do not want SoundCloud to associate your visit to our site with your SoundCloud account, please log out of your SoundCloud account.</p>"
"A Carousel is a Slider with multiple Slides<br>visible at the same time.<br>There are lots of options to customize the Carousel.","A Carousel is a Slider with multiple Slides<br>visible at the same time.<br>There are lots of options to customize the Carousel."
"A Scene is essentially a Slider with a single<br>Slide and no navigation elements.<br>Best used for content modules that require<br>no additional depth.","A Scene is essentially a Slider with a single<br>Slide and no navigation elements.<br>Best used for content modules that require<br>no additional depth."
"A Slide description for certain navigation types","A Slide description for certain navigation types"
"A Slider consists of multiple Slides.<br>Each Slide has its own content and can be<br>navigated to with various optional<br>navigation elements.","A Slider consists of multiple Slides.<br>Each Slide has its own content and can be<br>navigated to with various optional<br>navigation elements."
"A Slider that can have multiple slides with navigation","A Slider that can have multiple slides with navigation"
"A Slider with the given alias already exists","A Slider with the given alias already exists"
"A delay in milliseconds before a new line is typed","A delay in milliseconds before a new line is typed"
"A delay in milliseconds before the Arrows animate into view","A delay in milliseconds before the Arrows animate into view"
"A delay in milliseconds before the Bullets animate into view","A delay in milliseconds before the Bullets animate into view"
"A delay in milliseconds before the Tabs animate into view","A delay in milliseconds before the Tabs animate into view"
"A delay in milliseconds before the Thumbs animate into view","A delay in milliseconds before the Thumbs animate into view"
"A delay in milliseconds before the line begins to delete itself","A delay in milliseconds before the line begins to delete itself"
"A delay in milliseconds before the new line begins to type","A delay in milliseconds before the new line begins to type"
"A delay in milliseconds before the overlay should fade out","A delay in milliseconds before the overlay should fade out"
"A delay in milliseconds before the reveal effect should start","A delay in milliseconds before the reveal effect should start"
"A delay in milliseconds before the starting arrows animation begins","A delay in milliseconds before the starting arrows animation begins"
"A delay in milliseconds before the typing starts","A delay in milliseconds before the typing starts"
"A delay in milliseconds before the views are revealed","A delay in milliseconds before the views are revealed"
"A delay in milliseonds before the teaser animation begins","A delay in milliseonds before the teaser animation begins"
"A single-slide Slider with no navigation","A single-slide Slider with no navigation"
"A special shortcode for the Module when loading it as a Modal in the page with <a href='#'>custom JavaScript</a>","A special shortcode for the Module when loading it as a Modal in the page with <a href='#'>custom JavaScript</a>"
"A translateY offset for the hand to place it slightly higher or lower in relation to the drawn Layer","A translateY offset for the hand to place it slightly higher or lower in relation to the drawn Layer"
"A transparency level for the SVG border (0-100).","A transparency level for the SVG border (0-100)."
"A variety of sizes and densities can be also downloaded from the ","A variety of sizes and densities can be also downloaded from the "
"AM Clouds/PM Sun","AM Clouds/PM Sun"
"AM Drizzle","AM Drizzle"
"AM Drizzle/Wind","AM Drizzle/Wind"
"AM Fog/PM Clouds","AM Fog/PM Clouds"
"AM Fog/PM Sun","AM Fog/PM Sun"
"AM Ice","AM Ice"
"AM Light Rain","AM Light Rain"
"AM Light Rain/Wind","AM Light Rain/Wind"
"AM Light Snow","AM Light Snow"
"AM Rain","AM Rain"
"AM Rain/Snow","AM Rain/Snow"
"AM Rain/Snow Showers","AM Rain/Snow Showers"
"AM Rain/Snow/Wind","AM Rain/Snow/Wind"
"AM Rain/Wind","AM Rain/Wind"
"AM Showers","AM Showers"
