" should be numeric",应该是数字
" should not be empty",不应该是空的
"&copy; Copyright & License Info",&copy;版权和许可证信息
"* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation","*以后可以更改指南调整的所有设置。<br>单击<strong>帮助图标</ strong>以查找选项和文档"
"1 Purchase Code per Website",1每个网站的购买代码
"1 Purchase Code per Website!",1每个网站购买代码！
"1on1 Support",1on1支持
"1st Frame",第一帧
"3D Effects Enabled","3D 效果已启用"
"3D Settings",3D设置
"A Slider with the given alias already exists",已存在具有给定别名的滑块
"Access Secret",访问秘密
"Access Token",访问令牌
"Action Delay",动作延迟
"Action Needed",需要采取行动
"Action Type",行动类型
Actions,操作
"Activate Add-On","启用 Add-On"
"Activate Global Add-On","启用 Global Add-On"
"Activate License",激活许可证
"Activate To Update",激活更新
Activated,活性
"Activating Add-On","激活 Add-On"
Activation,激活
"Add Action to ",添加动作
"Add Folder",新增文件夹
"Add Layer",添加图层
"Add LineBreak After","加 LineBreak 后"
"Add LineBreak Before","加 LineBreak 之前"
"Add New Meta","添新 Meta"
"Add New Navigation ",添加新导航
"Add Slide(s)","加 Slide(s)"
"Add Slider as Modal","加 Slider 如弹出"
"Add to Selection",添加到选择
"AddOn could not be activated","AddOn 无法激活"
"AddOn could not be deactivated","AddOn 无法停用"
"AddOn deactivated","AddOn 停用"
"AddOns Outdated. Please Update","AddOns 过时了。请更新"
"AddOns need attention","AddOns 需要注意"
"Adding new Blank Module...",添加新的空白模块......
"Addon Required","Addon 需要"
"Admin Thumb",管理员拇指
"Adv. Style",高级样式
Advanced,高级
"Advanced Actions",高级操作
"Advanced Module Embedding",高级模块嵌入
"Advanced Settings",高级设置
"After Action",行动之后
Album,专辑
Alias,别号
Aligment,对准
Align,对齐
"Aligned by",对齐通过
All,所有
"All Layers",所有图层
"Allow Fullscreen",允许全屏
"Alt. Image",备用图片
"Amount of Slides","金额 Slides"
"An Error Occured while importing",导入时出错
"Anim From",动画来自
"Anim To",动画到
"Animate From",动画来自
"Animate to ""Start"" in Loop",动画到“开始”在循环中
Animation,动画
"Animation Duration",动画持续时间
"Animation Duration in ms",动画持续时间以毫秒为单位
"Animation Ease",动画轻松
"Animation Template",动画模板
"Animation View",动画视图
"Animation could not be saved",动画无法保存
"Animation deleted",动画已删除
"Animation saved",动画保存
"Are you sure you want to continue?",你确定你要继续吗？
"Are you sure you want to delete ",你确定你要删除
"Are you sure you want to delete the selected Slide:",你确定你要删除选中的Slide:
"Are you sure you want to export ",您确定要导出吗？
Arguments,参数
"Arrow Style",箭头样式
"Arrow Type",箭头类型
Arrows,箭头
"As Modal",如弹出
Ascending,上升
"Aspect Ratio",宽高比
"Attach to BG",附上BG
Attributes,属性
Audio,音频
"Audio Wave Library is Loading...",音频波库正在加载......
Auto,汽车
"Auto Play",自动播放
"Auto Rotate",自动旋转
"Auto Rotate Slideshow",自动旋转幻灯片
"Available Version",可用版本
"BG & Space",BG＆Space
"BG 3D Depth","BG 3D深度"
"BG Color",BG颜色
"BG Filter",BG过滤器
"BG Fit","BG 适合"
"BG Image",BG图像
"BG Speed",BG速度
"BG in Frame",BG在框架中
Back,背部
"Back to Overview",回到概述
Background,背景
"Background Color",背景颜色
"Background Video",背景视频
Backward,向后
