Back,Back
"Delete Entry","Delete Entry"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Entry","Save Entry"
"Copy Form","Copy Form"
"Delete Form","Delete Form"
"Save Form","Save Form"
ID,ID
Title,Title
"URL Key","URL Key"
Status,Status
Disabled,Disabled
Enabled,Enabled
PluginCompany,PluginCompany
Entry,Entry
"You deleted the Entry.","You deleted the Entry."
"We can't find a Entry to delete.","We can't find a Entry to delete."
"This Entry no longer exists.","This Entry no longer exists."
"Edit Entry","Edit Entry"
"New Entry","New Entry"
Entrys,Entrys
"Manage Form Submissions","Manage Form Submissions"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occured while deleting %1 record(s).","An error occured while deleting %1 record(s)."
"This Form Submission no longer exists.","This Form Submission no longer exists."
"You saved the Entry.","You saved the Entry."
"Something went wrong while saving the Entry.","Something went wrong while saving the Entry."
Form,Form
"You deleted the Form.","You deleted the Form."
"We can't find a Form to delete.","We can't find a Form to delete."
"Edit Form","Edit Form"
"New Form","New Form"
Forms,Forms
"This Form no longer exists.","This Form no longer exists."
" heading "," heading "
"Manage Contact Forms","Manage Contact Forms"
"You saved the Form.","You saved the Form."
"Something went wrong while saving the Form.","Something went wrong while saving the Form."
"Forward slash in filename not allowed","Forward slash in filename not allowed"
"Backslash in filename not allowed","Backslash in filename not allowed"
"Wildcard * in filename not allowed","Wildcard * in filename not allowed"
"An error occured removing the file from filesystem","An error occured removing the file from filesystem"
"Captcha error, please complete the challenge","Captcha error, please complete the challenge"
"File is too big","File is too big"
"No Form ID specified","No Form ID specified"
"File cannot be saved","File cannot be saved"
Home,Home
"Go to Home Page","Go to Home Page"
New,New
Viewed,Viewed
"In Progress","In Progress"
"On Hold","On Hold"
"Awaiting User","Awaiting User"
Answered,Answered
Approved,Approved
Rejected,Rejected
Closed,Closed
Complete,Complete
"Could not save the entry: %1","Could not save the entry: %1"
"Entry with id ""%1"" does not exist.","Entry with id ""%1"" does not exist."
"Could not delete the Entry: %1","Could not delete the Entry: %1"
"Thank you for contacting us","Thank you for contacting us"
"New contact form submission","New contact form submission"
"Could not save the form: %1","Could not save the form: %1"
"Form with id ""%1"" does not exist.","Form with id ""%1"" does not exist."
"Could not delete the Form: %1","Could not delete the Form: %1"
View,View
Delete,Delete
"Delete form submission","Delete form submission"
"Are you sure you want to delete this form submission?","Are you sure you want to delete this form submission?"
Edit,Edit
"Delete form","Delete form"
"Are you sure you want to delete this form?","Are you sure you want to delete this form?"
"Send copy to customer","Send copy to customer"
"Submit Comment","Submit Comment"
"Uploaded Files","Uploaded Files"
"Field ID","Field ID"
Value,Value
"Drag and drop files or click to select","Drag and drop files or click to select"
"Your browser does not support drag'n'drop file uploads.","Your browser does not support drag'n'drop file uploads."
"Please use the fallback form below to upload your files like in the olden days.","Please use the fallback form below to upload your files like in the olden days."
"File is too big ({{filesize}}MiB). Max filesize: {{maxFilesize}}MiB.","File is too big ({{filesize}}MiB). Max filesize: {{maxFilesize}}MiB."
"You can't upload files of this type.","You can't upload files of this type."
